

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 25.052244721017892; player life: 49.60000000000031; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: -1.1677552789821037; player life: 57.400000000000325; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.840904611508066; player life: 0; enemy life: 70.0; time: 473

RUN: run status: enemy: 5; fitness: -5.787755278982114; player life: 11.20000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.54626719449067; player life: 52.600000000000314; enemy life: 0; time: 303

RUN: run status: enemy: 5; fitness: -1.647755278982105; player life: 52.600000000000314; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 85.94527439979628; player life: 25.60000000000025; enemy life: 0; time: 746

RUN: run status: enemy: 5; fitness: -6.240275845170769; player life: 0; enemy life: 100; time: 513

RUN: run status: enemy: 5; fitness: -6.403574197934815; player life: 0; enemy life: 100; time: 604

RUN: run status: enemy: 5; fitness: -2.4877552789821076; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 90.54274196871556; player life: 71.80000000000027; enemy life: 0; time: 763

RUN: run status: enemy: 5; fitness: -4.767755278982113; player life: 21.40000000000024; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 32.012244721017886; player life: 29.20000000000026; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: -1.4677552789821044; player life: 54.40000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.4877552789821076; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -5.427755278982114; player life: 14.800000000000228; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.067755278982106; player life: 48.400000000000304; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.413458957167357; player life: 0; enemy life: 100; time: 610

RUN: run status: enemy: 5; fitness: 2.132244721017887; player life: 0.40000000000023406; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.48380692395703; player life: 0; enemy life: 30.0; time: 676

RUN: run status: enemy: 5; fitness: 2.48528730912747; player life: 0; enemy life: 90.0; time: 675

