generation,gain_enemy_2,gain_enemy_5,gain_enemy_8,kill_enemy_2,kill_enemy_5,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-40.049999999999685,-100.0,0.0,0.0,0.0,0.24756031160390413,0.4873327248979826,0.23948287647106015,0.6066193415362239
0,-100.0,-39.89999999999967,-100.0,0.0,0.0,0.0,0.8237179539769792,0.6417923444062621,0.23336375653901564,0.6250248301934899
0,-20.0,-57.09999999999973,26.50000000000025,0.0,0.0,1.0,0.7339605079410851,0.06142816318053268,0.4743646250090502,0.8544415888166654
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.3791645423814298,0.3342135566220906,0.8634402750674037,0.42865080379504783
0,-100.0,-9.749999999999908,-100.0,0.0,0.0,0.0,0.6412113002005548,0.4334730401705683,0.9257684013215663,0.15855909939587343
0,-92.5,16.600000000000236,-100.0,0.0,1.0,0.0,0.8313119583035808,0.5267907829515158,0.5112575907333572,0.5273722690910291
0,-100.0,-71.94999999999979,-100.0,0.0,0.0,0.0,0.40399565213376787,0.4421280298901288,0.2299339937607453,0.6725628794146892
0,-100.0,-48.599999999999696,-100.0,0.0,0.0,0.0,0.8719659307750286,0.8159072001843762,0.3968323005771174,0.10497799537826236
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.8178777111001952,0.6695791478899233,0.2241493095855841,0.8271249044549628
0,-100.0,-17.99999999999983,-100.0,0.0,0.0,0.0,0.3921029945533888,0.8623546151158101,0.6748408447431988,0.6211495949557493
0,-82.5,77.50000000000021,-87.5,0.0,1.0,0.0,0.4779532100542464,0.011922214325958302,0.5633084051823328,0.8224178804903058
0,-67.5,-69.89999999999998,-82.5,0.0,0.0,0.0,0.5757755012667968,0.2827563795922352,0.964933991241594,0.6753600811862065
0,-100.0,-34.49999999999967,-100.0,0.0,0.0,0.0,0.9353367698845941,0.9739203525598101,0.12654088002229147,0.36550689598760155
0,-100.0,-49.04999999999969,-100.0,0.0,0.0,0.0,0.14445278816420404,0.40598469216447874,0.3588143888777119,0.79472279700964
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9145241449083326,0.8721220586140929,0.44563655975315175,0.2134482458224103
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.13331520578644274,0.23111242650517871,0.21690679956431247,0.09048526550918301
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.5737924998692355,0.31550530776399965,0.7014538970723083,0.31875955654530863
0,17.0,-37.89999999999995,23.50000000000024,0.75,0.0,1.0,0.006076822811545202,0.12190700866189463,0.3071066816631688,0.8721858661675888
0,-70.0,-100.0,-85.0,0.0,0.0,0.0,0.12312870137220977,0.8230877067782147,0.7771591529902465,0.16100623157691885
0,-100.0,-4.999999999999787,-97.5,0.0,0.0,0.0,0.09670021605002688,0.3041171828005529,0.9936123563670182,0.4983031362290724
0,-42.5,-85.0,4.850000000000195,0.0,0.0,0.75,0.9893264258565901,0.4274820002723696,0.6382780352583719,0.06939158220897723
0,-100.0,-42.59999999999969,-100.0,0.0,0.0,0.0,0.3232330424643982,0.7272373772374804,0.26762822532763775,0.6334521303648512
0,-100.0,-46.9499999999997,-100.0,0.0,0.0,0.0,0.22932911659774635,0.7355935177351982,0.6139568792251,0.9092608714498047
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.6249851828723071,0.269160636649451,0.8615361819181302,0.29262556439227116
0,-97.5,-32.299999999999756,-87.5,0.0,0.0,0.0,0.6072240712833434,0.5050134252370109,0.9681282270661243,0.6309219975917926
0,-100.0,-72.44999999999973,-100.0,0.0,0.0,0.0,0.2762265163603381,0.9716314734139919,0.19256905434053373,0.8514515935229837
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9945526214329515,0.8404940379642274,0.17176391546632308,0.5894553521966824
0,-65.0,-28.34999999999984,-85.0,0.0,0.0,0.0,0.5140164348478982,0.2618456721481732,0.10954188972720602,0.09639713299551411
0,-57.5,-60.24999999999995,-100.0,0.0,0.0,0.0,0.42456971348505324,0.9237938617130701,0.20951831957778255,0.949863087210342
0,-100.0,-10.199999999999903,-100.0,0.0,0.0,0.0,0.7996365538405541,0.8508151890136085,0.7255681228910698,0.8104325099820594
0,-100.0,-32.69999999999969,-100.0,0.0,0.0,0.0,0.12809865042492385,0.12784314442853761,0.9286198165714424,0.3101574528794767
0,-100.0,-52.1999999999997,-100.0,0.0,0.0,0.0,0.38186977047526793,0.4469165654403153,0.3082581372720261,0.41143078722033155
0,-100.0,-33.5999999999997,-100.0,0.0,0.0,0.0,0.5947498387777909,0.9072657035089369,0.8589930727704647,0.691663203598944
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.5986771454235142,0.1908643954770115,0.9277131477487308,0.45737988552499
0,-100.0,-49.34999999999969,-100.0,0.0,0.0,0.0,0.41733247141410934,0.7817298535400026,0.3028155958541814,0.21219093589000326
0,-100.0,-14.549999999999862,-100.0,0.0,0.0,0.0,0.5272019995476637,0.2656308805708787,0.3534302919623036,0.7866891790480312
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.21231747992965266,0.6045599222064694,0.7358744921444657,0.5033359525124503
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.6204888371383293,0.18049275024460754,0.3973596797268689,0.0698883035993102
0,-100.0,-39.89999999999968,-100.0,0.0,0.0,0.0,0.9673914834734492,0.24264624261058487,0.5335045917427733,0.26283128841005776
0,-100.0,-11.399999999999892,-100.0,0.0,0.0,0.0,0.3818132267498907,0.23126588503138468,0.9674108894771904,0.4638106819532589
0,-60.0,-43.44999999999997,-80.0,0.0,0.0,0.0,0.8431998443655585,0.8562786657607737,0.9175709063291451,0.7233016693694841
0,-85.0,-95.0,-90.0,0.0,0.0,0.0,0.03517919189222518,0.07201068906061248,0.09523905440436087,0.4145776082025876
0,-60.0,-22.899999999999725,1.4500000000000686,0.0,0.0,0.25,0.8830581790578349,0.4446658588510143,0.24801176043997308,0.11018245544583061
0,-100.0,-87.09999999999982,-100.0,0.0,0.0,0.0,0.7995169598145317,0.11267023564083667,0.9832008479032013,0.3032411170763786
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.06139883603954377,0.5324786942476416,0.897710235183646,0.4306457071828501
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.8376045924509959,0.9846163378445716,0.48125715549889525,0.8354333463934644
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.025339430067615965,0.5021627497183052,0.09078131351815133,0.6491762049328985
0,-100.0,-11.54999999999989,-100.0,0.0,0.0,0.0,0.8952594949645193,0.9930001794773584,0.2872403982788493,0.0827568092647537
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9528101731085824,0.293530735817934,0.9270622660451865,0.7988819547726762
0,-50.0,3.300000000000132,-90.0,0.0,0.5,0.0,0.8134535535914895,0.3981595302612586,0.9153850923931798,0.21560370867715783
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.18593918874936588,0.4555199306433495,0.12338030612019846,0.7610733957309818
