generation,time,memory_usage_MB,cpu_usage_percent
0,0.04586601257324219,9969.59375,15.2
0,0.07348775863647461,10012.890625,15.6
0,0.07294702529907227,9974.796875,16.5
0,0.02037811279296875,9965.5625,13.1
0,0.08843111991882324,9972.015625,11.4
0,0.06532025337219238,9978.453125,16.2
0,0.028397798538208008,9973.3125,11.9
0,0.0756840705871582,9966.328125,8.3
0,0.01706099510192871,9946.359375,16.0
0,0.026578903198242188,9940.234375,14.0
0,0.0614321231842041,9962.359375,8.8
0,0.021883010864257812,10010.34375,41.1
0,0.08175086975097656,10024.015625,21.2
0,0.016839981079101562,10023.578125,27.1
0,0.015047788619995117,10029.0625,21.3
0,0.1049492359161377,10021.53125,26.9
0,0.004556179046630859,10011.59375,23.4
0,0.019056081771850586,10015.40625,17.9
0,0.01927661895751953,10020.6875,17.9
0,0.016335725784301758,10026.765625,17.7
0,0.1147770881652832,10017.4375,18.9
0,0.04880785942077637,10025.390625,25.3
0,0.015589714050292969,10071.109375,27.5
0,0.04782891273498535,10051.1875,10.7
0,0.04686594009399414,9965.140625,11.1
0,0.0747067928314209,9982.90625,16.0
0,0.0177309513092041,9966.359375,10.8
0,0.058840036392211914,9960.171875,8.4
0,0.010864734649658203,9948.15625,11.7
0,0.019003868103027344,9946.78125,7.5
0,0.015997886657714844,9960.625,9.9
0,0.07084894180297852,9944.140625,7.6
0,0.0737447738647461,9935.90625,9.8
0,0.07418489456176758,9934.640625,12.2
0,0.06246519088745117,9935.703125,7.4
0,0.07802486419677734,9937.453125,10.7
0,0.037894248962402344,9939.609375,7.7
0,0.07449984550476074,9944.296875,6.8
0,0.10775613784790039,9970.078125,9.3
0,0.0389859676361084,9974.234375,18.0
0,0.04030585289001465,9991.875,14.3
1,0.03936290740966797,10016.765625,28.8
1,0.028064966201782227,10006.421875,33.9
1,0.06930994987487793,10017.40625,21.5
1,0.03354597091674805,10040.78125,24.5
1,0.021690845489501953,10037.765625,17.4
1,0.01881694793701172,10040.125,16.5
1,0.018780946731567383,10057.078125,19.8
1,0.04873991012573242,10049.125,29.9
1,0.1009669303894043,10036.21875,21.2
1,0.022803068161010742,10167.234375,46.7
1,0.05135917663574219,10126.15625,25.7
1,0.03575706481933594,10122.796875,38.0
1,0.038694143295288086,10101.90625,14.3
1,0.0623171329498291,10151.109375,15.2
1,0.050019025802612305,10132.859375,15.9
1,0.05240225791931152,10120.546875,10.3
1,0.053893089294433594,10118.828125,10.7
1,0.07959508895874023,10122.359375,9.7
1,0.06056499481201172,10122.390625,9.1
1,0.07726001739501953,10118.34375,27.2
1,0.024385929107666016,10122.859375,16.8
1,0.08179497718811035,10112.140625,8.5
1,0.07610583305358887,10118.78125,9.2
1,0.04580116271972656,10163.4375,9.3
1,0.02409195899963379,10183.828125,19.9
1,0.07440018653869629,10184.703125,8.9
1,0.06892871856689453,10179.234375,10.9
1,0.03139233589172363,10176.75,9.4
1,0.01774740219116211,10176.296875,8.4
1,0.024465084075927734,10186.15625,9.5
