generation,gain_enemy_1,kill_enemy_1,sigma_0,sigma_1,sigma_2,sigma_3
0,-87.5,0.0,0.09897324019261944,0.12863477990914596,0.4174070972600922,0.9234767317330638
0,-87.5,0.0,0.840680621862005,0.30181379592566737,0.4194341992300963,0.04092230326445101
0,-100.0,0.0,0.1521630323220039,0.2980273462271348,0.9820341195057706,0.30746130573640207
0,-100.0,0.0,0.3509702453732694,0.7989221736879912,0.9891561773786113,0.035639956209937096
0,-100.0,0.0,0.9654501251211062,0.5962253133617372,0.04775911708030023,0.3336519465484812
0,-100.0,0.0,0.21786972076728295,0.9440924198519648,0.5952593164902514,0.8063666644919218
0,-100.0,0.0,0.8420060930157821,0.6658758475520599,0.8911529655005264,0.9821629069687157
0,-100.0,0.0,0.5730698716673575,0.7573052195879645,0.2579302116470704,0.6673621739883376
0,-90.0,0.0,0.2904736061302592,0.3470609463717794,0.05204272287695366,0.935801323001341
0,-100.0,0.0,0.6738971188209634,0.6502380807784048,0.5438078022849807,0.3615790245886311
0,-100.0,0.0,0.7758039125341422,0.46428067322016964,0.42883277848836565,0.9881509654624234
0,-100.0,0.0,0.609463267243957,0.5616418439979455,0.7721712385052054,0.31235222898306125
0,-90.0,0.0,0.9279360565695236,0.9606163890989646,0.5742357733791627,0.3115483604906406
0,-100.0,0.0,0.030996150314326454,0.9642523138858852,0.11165692617247802,0.34570756467737407
0,-100.0,0.0,0.20422962639533448,0.32904001258502324,0.9598046527436493,0.13713902792415567
0,-100.0,0.0,0.7257717375679954,0.8162334508996166,0.4417919700804518,0.6953823384328858
0,-100.0,0.0,0.9052299511728187,0.5421474362796865,0.2730343343806909,0.9921420816589841
0,-100.0,0.0,0.24586305306174272,0.0406400634193419,0.4723635083622503,0.4836900074123316
0,-95.0,0.0,0.13722500458621334,0.8326146188795922,0.45114301214852015,0.3722011736643872
0,-97.5,0.0,0.10500434198257447,0.8522996633448169,0.02420803040873265,0.6786212928132807
0,-80.0,0.0,0.6194045212730682,0.01641613816105325,0.11138114474226946,0.29994814389897884
0,-100.0,0.0,0.3891004278286978,0.7375110724554828,0.813723230685502,0.2614149557629567
0,-100.0,0.0,0.41931264208842667,0.1998749322304192,0.27089566670108123,0.44636670125492295
0,-100.0,0.0,0.8907460101023574,0.5443014394911128,0.9791381899064782,0.8478791630269791
0,-100.0,0.0,0.014389520065242856,0.46795779340663624,0.2016028212025318,0.6445597749741354
0,-87.5,0.0,0.6743088791431509,0.5903209692208297,0.785638677211277,0.5808214281447125
0,-97.5,0.0,0.9558543633231024,0.6370184789111702,0.23338515457588682,0.6589720053162152
0,-92.5,0.0,0.36389066312797547,0.34627012809179536,0.9935263166910367,0.32867650539534665
0,-100.0,0.0,0.997801512750204,0.6436582335550706,0.3168306944606303,0.3490112255522937
0,-100.0,0.0,0.39643013152307616,0.5849649018600785,0.0955706681595827,0.28903394026114393
0,-77.5,0.0,0.8449736113965746,0.029378695629674212,0.5575406057156406,0.9722797684409862
0,-100.0,0.0,0.9532875141763194,0.17580829081819926,0.08765413889306595,0.0851519695173667
0,-100.0,0.0,0.5955936425881386,0.9604498822149881,0.7954096536811045,0.8143000250174116
0,-100.0,0.0,0.044947012115499674,0.36303855256979656,0.8597246799203204,0.751196254778316
0,-100.0,0.0,0.6246928835494756,0.6126453995994575,0.8487132962915501,0.40311917198568226
0,-100.0,0.0,0.9435860794796402,0.9911521152065226,0.6191799372857163,0.5452550924997875
0,-92.5,0.0,0.6938840246544633,0.858026378029574,0.022128358724407104,0.6193615554630548
0,-100.0,0.0,0.8171507543636454,0.6789888571703759,0.1510700271737757,0.3616052874580793
0,-100.0,0.0,0.4919670592497797,0.6199483823521287,0.5615139447239957,0.4935827541106076
0,-100.0,0.0,0.13662228540340848,0.5582581403038368,0.11223454784797426,0.21559565318031904
0,-100.0,0.0,0.8729926785215197,0.32544601926703265,0.46445697955522935,0.4955433198746054
0,-100.0,0.0,0.574781605100736,0.8619914066218193,0.4802188774839268,0.9751237140586148
0,-100.0,0.0,0.9264380691125053,0.838220854694508,0.5965166164931076,0.3614322402600244
0,-46.5,0.0,0.16501026327998636,0.5201809196403373,0.1930612032688761,0.25389787176875855
0,-100.0,0.0,0.8506059517852638,0.19682924098548993,0.8311267148404229,0.5668287346929711
0,-100.0,0.0,0.45577785076717037,0.42753091751705274,0.1543291489229044,0.11691821361312749
0,-92.5,0.0,0.016994771800815767,0.25422501529585206,0.931747041044574,0.9168673129657479
0,-100.0,0.0,0.6765039895245235,0.11192557576609419,0.8645999324712615,0.04224275278623946
0,-100.0,0.0,0.9250740238759158,0.9958145686571094,0.6767233921505942,0.6339378576361809
0,-95.0,0.0,0.9860632069974761,0.6543587952297419,0.36011018387066873,0.4943116753143977
0,-100.0,0.0,0.8255111845078309,0.3126348816957166,0.6572641459096401,0.7052890457755685
0,-100.0,0.0,0.3622207077506706,0.07845393494431707,0.5066405906586313,0.20583236780801584
0,-100.0,0.0,0.6749312087213236,0.9701160800241528,0.4656896938743599,0.8612363680883204
0,-100.0,0.0,0.5356479674774877,0.25123227297280704,0.4336733799382807,0.6838081496426115
0,-27.5,0.0,0.5803658506258887,0.4238147857055271,0.3703268318082319,0.4654252753882109
0,-62.5,0.0,0.19461190921857063,0.3605254421896078,0.3561799897011034,0.8563552286987601
0,-95.0,0.0,0.22551266477123177,0.0246116285003134,0.7236259912425754,0.9146857977146567
0,-100.0,0.0,0.7798242088418843,0.3966699174603594,0.20668351195767154,0.41819824744299217
